account,date,url,tickers,numbers,signal,signal_p,direction,direction_p,has_numbers,conviction,text
dannycheng2022,2026-09-18T06:23:43.000Z,https://x.com/dannycheng2022/status/2100833126973095975,$TWLO,18 2026 0 1 87.89,none,0.46,bullish,1.0,0.87,1.46,"$TWLO  (September 18, 2026-Daily Chart0  Every time a new red ribbon has successfully unfolded in panel 1, the stock has taken a step higher. The bullish red ribbon is now about to unfold, provided whale accumulation remains strong and steady (currently at 87.89%).  The momentum"
dannycheng2022,2026-09-18T02:59:49.000Z,https://x.com/dannycheng2022/status/2100781814558364082,$AMD,$457 $486,momentum_bar_level,1.0,bullish,0.96,0.95,1.97,$AMD  “topping out”?  Most big accounts told you  $AMD  was topping out. My chart showed the opposite for months: sideways consolidation that gave anyone who missed the move a huge window to add and accumulate.  The momentum bars at $457 and $486 were the last clean opportunities.
dannycheng2022,2026-09-14T03:18:21.000Z,https://x.com/dannycheng2022/status/2099336926285472081,$SMCI,14 2026 20 $23.7 $24.5,volatility_hole,1.0,neutral,0.7,0.98,0.46,"$SMCI  (September 14, 2026-Daily Chart)  The last two volatility holes, together with the different ribbons, have been spot-on and have acted as reliable buy and sell signals.  The most recent volatility hole appeared on July 20 while  $SMCI  traded between $23.7 and $24.5, marking"
dannycheng2022,2026-09-13T03:29:18.000Z,https://x.com/dannycheng2022/status/2098977292064297448,$ASTS,13 2026 1 $58 $72 $81 $58 $72 $72 $81 $58,momentum_bar_level,0.99,neutral,1.0,0.98,0.01,"$ASTS  (September 13, 2026-Weekly Chart)  Three momentum bars stand out in Panel 1: $58, $72, and $81. ASTS remains range-bound between $58 and $72 with no clear direction yet. A break above $72 would put the next bar at $81 in play as mid-term resistance. A break below $58 would"
dannycheng2022,2026-09-12T07:29:57.000Z,https://x.com/dannycheng2022/status/2098675468480491845,$ETHA,12 2026 $18.4 $22.8 $32.9,momentum_bar_level,1.0,bullish,1.0,0.97,2.19,"$ETHA  (September 12, 2026-Weekly Chart)  The longest momentum bar at $18.4 has been cleared this week, with the two more critical ones at $22.8 and $32.9 still to be cleared—just a matter of time. The bullish red ribbon points to a mid-term trend reversal, as long as whale"
dannycheng2022,2026-09-11T04:49:17.000Z,https://x.com/dannycheng2022/status/2098272644617613651,$APP,11 2026 $298 $300 $300 $322 $325.80 $391.20,momentum_bar_level,0.99,neutral,0.87,0.98,0.57,"$APP  (September 11, 2026-Weekly Chart)   $APP  needs to hold the $298–$300 support zone in the coming weeks. It is currently consolidating between $300 and $322.   First resistance is the momentum bar at $325.80, with mid-term resistance at $391.20."
dannycheng2022,2026-09-11T04:21:48.000Z,https://x.com/dannycheng2022/status/2098265727673536992,$MSFT,11 2026 2 11 2026,volatility_hole,1.0,bullish,0.22,0.78,1.0,"$MSFT  (September 11, 2026-Weekly Chart)  Trend Analysis:  The 2 Volatility holes have been remarkably accurate. The first volatility hole, aligned with the red ribbon, timed the cycle top with precision.   The second, together with the blue ribbon, marked the early stage of MUST-READ: The Proprietary Indicator which Printed Millions in My Top Core Stocks (September 11, 2026)  How to time a bottom with a Volatility Hole + descending blue ribbon in a downtrend?  This is not a “buy the exact tick”"
dannycheng2022,2026-09-10T06:15:34.000Z,https://x.com/dannycheng2022/status/2097931972735869294,$KOPSI,10 2026 3 41.1,candle_colour,0.98,bullish,1.0,0.92,1.73,"$KOPSI (September 10, 2026-Daily Chart)  The last trend-reversal red candle was the first buy signal, and it has been spot on. Momentum has built since then, with whale accumulation in panel 3 rising steadily to 41.1%.  Price action remains choppy, but the bullish red ribbon is"
dannycheng2022,2026-09-10T05:50:10.000Z,https://x.com/dannycheng2022/status/2097925579161157910,$AMD,10 2026 2025 2025 $110 $200 2022,none,0.89,bullish,1.0,0.96,2.53,"$AMD  (September 10, 2026-Daily Chart)  Remember who showed you the  $AMD  bullish setup in 2025 while retail was scared and skeptical — and who told you to hold the full cycle instead of trading in and out, so you didn’t miss the parabolic move while most fake furus were calling This post from July 2025 aged well. When I saw the bullish setup in $AMD, I shared it with the community first and then we accumulated from $110 to $200 amid retail fear and skepticim.  Thank you to my community who tru"
dannycheng2022,2026-09-08T02:44:50.000Z,https://x.com/dannycheng2022/status/2097154164065546718,$INTC,8 2026 $80 $90 1 2 2022,candle_colour,0.41,bullish,1.0,0.97,1.98,"$INTC   (September 8, 2026-Daily Chart)   $INTC  spent two months building a base between $80 and $90. I shared the last bullish candle (highlighted in panel 1) with the community on September 2. Since then, momentum has been building, reflected in a steady rise in whale Don't miss the bullish ticker $INTC. x.com/dannycheng2022…"
dannycheng2022,2026-09-07T15:10:54.000Z,https://x.com/dannycheng2022/status/2096979528325492826,$IBIT,7 2026 3 45.72,volatility_hole,1.0,bullish,0.99,0.97,2.7,"$IBIT  (September 7, 2026-Weekly Chart)  The 3 volatility holes accurately predicted the topping and bottoming signals. The last two volatility holes with the red ribbons signaled topping, while the last one with the blue ribbon hinted at early bottoming, followed by a false There will be nothing stopping this bull market once $IBIT reclaims 45.72 as support. Almost there"
dannycheng2022,2026-09-06T07:52:57.000Z,https://x.com/dannycheng2022/status/2096506927127916636,$SPCX,6 2026 7 2026 2022,volatility_hole,0.97,bullish,1.0,0.93,1.88,"$SPCX  Daily Chart: How Volatility Holes, Momentum Bars, and Whale Accumulation Mark the Buy Zone (September 6, 2026)  Trend Analysis: The last volatility hole marked the bottom perfectly. Momentum has been building since then, shown by the steady rise in whale accumulation on $SPCX (August 7, 2026-Daily Chart Update)  A Freebie for All.  x.com/dannycheng2022…"
dannycheng2022,2026-09-05T15:31:46.000Z,https://x.com/dannycheng2022/status/2096260006631166350,$IBIT,5 2026 3 2024 2026,volatility_hole,1.0,bearish,0.92,0.91,1.29,"$IBIT  (September 5, 2026-Weekly Chart)  There are 3 volatility holes on the weekly chart from November 2024 to September 2026.The first two, together with the bullish red ribbon, marked the top and the last cycle high!  The last one, together with the blue ribbon (downtrend),"
dannycheng2022,2026-09-15T12:17:36.000Z,https://x.com/dannycheng2022/status/2099835021343486059,,3 10,none,1.0,neutral,0.92,0.03,1.26,I do not touch the long-term book for 3 to 10 years. That idea is foreign to almost everyone. Daily price action is noise. It does not move my emotions and it does not cost me sleep. The moment I care is when retail fear is extreme or the market is falling hard. That is the only
dannycheng2022,2026-09-15T05:29:19.000Z,https://x.com/dannycheng2022/status/2099732273017032916,,20 15 2026 2000 2008 2018 2020 2022,none,1.0,neutral,1.0,0.52,0.28,"Size, Cycles, and Proof: What 20+ Years in Markets Actually Taught Me (September 15, 2026)  After more than two decades in markets—through the 2000 dot-com bust, 2008 financial crisis, 2018 the trade-war scare, 2020 Covid, and the 2022 bear—I have learned that most people lose"
dannycheng2022,2026-09-12T04:37:06.000Z,https://x.com/dannycheng2022/status/2098631966438400206,,12 2026 40 50,none,1.0,neutral,1.0,0.55,2.83,"Concentration Beats Everything (September 12, 2026)  I don’t need 40 to or 50 companies to succeed. First, I cannot put one or two million dollars into each of them anyway. I would rather own five to ten businesses and put real capital where I have actually done the work.  The"
dannycheng2022,2026-09-12T04:17:14.000Z,https://x.com/dannycheng2022/status/2098626970041176366,$AMD,12 $300 2025 $110 $200 2022,none,0.84,bullish,1.0,0.97,2.29,"$AMD  (September 12, Daily Chart Update)  Most accounts on X said  $AMD  would plunge to $300. I kept reassuring my community that the near-term odds of that were not that high. Whales and institutions have been eager to load up, and the market has already given us multiple chances This post from July 2025 aged well. When I saw the bullish setup in $AMD, I shared it with the community first and then we accumulated from $110 to $200 amid retail fear and skepticim.  Thank you to my community who t"
dannycheng2022,2026-09-11T15:05:00.000Z,https://x.com/dannycheng2022/status/2098427596551733739,$AMD $NVDA,7.65 2.72 11 2025 $86.40 $235 15 2026 2.72 $76.48 $584.73 2,none,0.95,bullish,0.94,0.98,2.25,"WHALES ALREADY PICKED THE WINNER — AMD 7.65x vs NVDA 2.72x FROM THE SAME CYCLE LOW  Same cycle low: April 11, 2025  $NVDA  $86.40 → $235 on May 15, 2026 = 2.72x    $AMD  $76.48 → $584.73 on July 2, 2026 = 7.65x  Whales have already picked the leader with price action. Did you make"
dannycheng2022,2026-09-11T06:40:40.000Z,https://x.com/dannycheng2022/status/2098300676417937584,,,,,,0,,,"Follow genuine accounts, do the fundamentals, track whales and have regular meeting with real whales (that is what I have been doing)."
dannycheng2022,2026-09-10T06:56:50.000Z,https://x.com/dannycheng2022/status/2097942355529924759,$AMD $NVDA,10 2026 2023 2025,none,1.0,bullish,0.96,0.9,1.75,"$NVDA  last cycle.  $AMD  this cycle. Same playbook. (September 10, 2026)   Last cycle I went heavy on  $NVDA  in Jan 2023. This cycle, from May 2025, I told my community I was doing the same thing and went heavy with  $AMD , amid retail fear and skepticism. Sorry that I didn’t catch"
dannycheng2022,2026-09-09T03:24:15.000Z,https://x.com/dannycheng2022/status/2097526472240173371,,9 2026 1,none,1.0,bullish,0.36,0.17,1.83,"The people who miss generational wealth all make the same five mistakes (September 9, 2026)  1. People waiting for a lower low The market does not care about your emotions. On discounts, many institutions and whales keep buying but most retail investors keep waiting for cheaper"
dannycheng2022,2026-09-09T01:39:23.000Z,https://x.com/dannycheng2022/status/2097500080970617337,$PLTR,$110 $130 $187.94 2022 20745 44196 69497 4745 20 3 1 3,none,0.5,bullish,1.0,0.93,1.98,"I have accumulated  $PLTR  from $110 to $130 over the past few months before most charts turned bullish. Momentum then accelerated and the stock ran up to $187.94.   https:// x.com/dannycheng2022 /status/2074544196694974745?s=20 …  I’ll keep accumulating if the whales give us another discount at the levels I shared with Over the past few weeks, I’ve shared my $PLTR buy orders with my Tier 3 community and highlighted all the bullish signals in my daily and weekly “MUST-READ” posts—available to Ti"
dannycheng2022,2026-09-07T08:53:41.000Z,https://x.com/dannycheng2022/status/2096884599406411892,,5 7 2026 6 2026,volatility_hole,0.95,bullish,0.98,0.64,2.44,"I Bought the Ugliest Charts—That Is How I Made Millions in Each of My Top 5 Core Stocks. (September 7, 2026)  Introduction: I use the Volatility Hole and the descending blue ribbon to time bottoms and build large positions. This is how I made millions in each of my conviction The setups I bought when nobody wanted them (September 6, 2026)  Finding the right stocks when everyone hates them is hard. Fundamentals alone are not enough. You also need the guts to buy the ugliest charts with real size,"
dannycheng2022,2026-09-06T06:04:02.000Z,https://x.com/dannycheng2022/status/2096479518143996332,,6 2026,none,1.0,neutral,0.89,0.6,2.35,"Follow Whales, not Retail (September 6, 2026)  In a bull cycle, I follow whales and institutions, not retail.  Retail cannot compete on fundamentals. We lack the capital, staff, resources and access. The data we get is usually outdated. We never have the latest numbers, and we do"
dannycheng2022,2026-09-04T11:46:00.000Z,https://x.com/dannycheng2022/status/2095840800328302763,$HOOD $NOW $PLTR $SOFI,5 1,none,0.88,bullish,1.0,0.04,1.59,"My 5-month accumulation in  $PLTR ,  $HOOD ,  $NOW  and  $SOFI  is complete — unless the whales offer a massive discount again.  I’m adding more to names that are nearing the Stage 1 base. I’ve been sharing them in Weekly Insights over the past few weeks and will highlight them again"
dannycheng2022,2026-09-03T08:00:46.000Z,https://x.com/dannycheng2022/status/2095421730152161731,$AMD $PLTR,,none,1.0,bullish,0.78,0.03,1.18,"Transparency is everything. I don’t mind averaging up or down on my core stocks,  $PLTR  and  $AMD , as long as whales keep offering discounts.   Not showing off — this is a small amount in Hong Kong. Long-term investing still works best for me. Most people on X miss that because"
dannycheng2022,2026-09-03T04:52:30.000Z,https://x.com/dannycheng2022/status/2095374351281615002,,6 1 2,none,1.0,bullish,0.95,0.04,1.64,"I don’t time the bottom. Few can. I DCA for months — sometimes a year — into my own high-conviction stocks. Institutions and whales often create a multi-month buying window while they accumulate before the next rally. That’s the window I wait for and use. MUST-READ: Weekday Insights- Most Stocks Do Nothing for Months — And That’s Exactly When Winners Are Made   Good stocks often go nowhere for 6 months, sometimes even 1–2 years, before their real breakout. As a genuine long-term investor, my big"
dannycheng2022,2026-09-02T10:45:00.000Z,https://x.com/dannycheng2022/status/2095100672773689549,$TSLA,2 2026 1 2,volatility_hole,0.94,bullish,0.69,0.88,0.85,"$TSLA  (September 2, 2026-Daily Chart)  How to read my chart more accurately?  1. A volatility hole together with a descending blue ribbon is an early bottoming signal. Weaker stocks usually need two or three of these holes; stronger names often need only one.  2. After this"
dannycheng2022,2026-08-31T05:54:39.000Z,https://x.com/dannycheng2022/status/2094302828785438927,$NVDA $PLTR,$50 $60,none,0.85,bullish,1.0,0.86,1.94,"I get asked every day if I should buy more  $PLTR  and  $NVDA .  Last time I posted my  $PLTR  accumulation on X transparently and showed you what a decent size means while retail was panicking, almost every indicator was bearish and when all fake furus told you to wait for $50-$60."
dannycheng2022,2026-08-30T10:04:35.000Z,https://x.com/dannycheng2022/status/2094003338337472619,$HOOD $PLTR $SE $SYM,3 92.5 4 $80 $38 $120 $51 $97 $53 $43 $10 400,momentum_bar_level,0.46,bullish,0.98,0.97,2.93,"If prices dropped to these levels, I would buy aggressively. Whales don't really care much about Elliott Waves or retail logic. DCAing at strong support and following the right indicators made me millions in each of my top 3 core holdings—which make up over 92.5% of my portfolio! These are the 4 hottest stocks on my future watchlist.  Including the buy zones I’m waiting for:  $HOOD — $80 to $38  $PLTR — $120 to $51  $SE — $97 to $53  $SYM — $43 to $10  All four stocks offer at least 400% upside "
dannycheng2022,2026-08-30T02:58:57.000Z,https://x.com/dannycheng2022/status/2093896224021856582,,30 2026,none,1.0,neutral,0.98,0.44,2.47,"Concentration Builds Financial Freedom (August 30, 2026)  In multi-million portfolios like mine and Lee’s  @sheslee , we could have spread capital evenly across dozens of names, the way I used to see it done at many prestigious private banks. That approach would NEVER have produced"
dannycheng2022,2026-08-29T07:18:35.000Z,https://x.com/dannycheng2022/status/2093599175124582837,$GLD,29 2026 $360 $426.58,volatility_hole,0.88,bullish,0.74,0.98,0.59,"$GLD  (August 29, 2026-Weekly Chart)  Did the last volatility hole, along with the blue ribbon that appeared in the $360 range in late July, mark the bottom for  $GLD ?   Closing above its upper boundary at $426.58 would likely start a new uptrend — if the whales cooperate."
dannycheng2022,2026-08-28T16:04:34.000Z,https://x.com/dannycheng2022/status/2093369157349957693,$HIMS $IBIT $IGV $PYPL $SPCX,1,volatility_hole,1.0,bullish,0.99,0.06,1.99,"More examples of how volatility holes along the descending blue ribbons helped our community time the bottoms:  $IBIT ,  $PYPL ,  $HIMS , and  $SPCX .  The pattern is consistent. Once you recognize it, you can get ready for the discounts, size up with conviction, and stay patient through My favorite and most accurate indicator is the combination of a volatility hole with the descending blue ribbon. This setup is especially effective for identifying the early stages of a bottoming process.  The f"
dannycheng2022,2026-08-28T03:00:00.000Z,https://x.com/dannycheng2022/status/2093171712993251692,,,,,,0,,,They are the most generous guys in the world who don’t mind donating to whales!
sunxliao,2025-07-28T20:04:07.000Z,https://x.com/sunxliao/status/1949923846414348524,$SQNS,,momentum_bar_level,0.43,neutral,0.49,0.04,0.44,$SQNS  #SQNS when magenta support breaks (with pink in all panes and whales disappearing)... 🐳
sunxliao,2025-07-21T18:38:05.000Z,https://x.com/sunxliao/status/1947365479678394534,$IREN,,none,0.45,bullish,0.37,0.04,0.84,$IREN  #IREN no pink yet! 🔷🫡  Whales just hit new local highs too...  Locked in and watching closely.
sunxliao,2025-07-16T15:03:55.000Z,https://x.com/sunxliao/status/1945499643938210206,$YHC,,blue_diamond,0.99,bullish,0.86,0.03,1.23,"$YHC  #YHC LQR House as requested! 🔷  Seeing blue in ALL panes, with a blue diamond.  This is phase before whales come in IMO.  Will update ASAP if I see a pink diamond or any squares, triangles, or circles... 🫡"
